Latitude,Longitude,Elevation,Slope,Temperature,Radar,Illumination,Hazard_Score,Ice_Probability,CPR,DOP,S1,S2,S3,S4
-86.13022,303.38351,-2439.85,15.076,162.9,0.6355,22.16,63.28,0.7019,1.5777,0.1313,1.6355,0.0964,0.056,-0.1835
-87.80561,160.70022,-3427.31,19.741,168.04,0.5674,0.0,55.92,0.7685,1.6909,0.1736,1.5674,0.157,-0.1349,0.1767
-85.70701,343.07106,-1429.95,18.17,188.76,0.3242,174.87,42.57,0.3194,0.9755,0.2684,1.3242,-0.2128,-0.0934,0.2689
-86.51316,234.28605,-2111.89,12.041,174.54,0.5254,80.96,38.44,0.6103,1.411,0.2071,1.5254,-0.0645,-0.1543,0.2681
-89.52911,41.72359,-1880.25,13.564,185.37,0.3386,107.11,47.71,0.3922,1.0276,0.2538,1.3386,-0.2001,-0.1778,-0.2092
-85.12189,318.63348,-2314.22,10.546,175.78,0.6606,17.83,50.15,0.6752,1.4771,0.1656,1.6606,0.0685,0.1183,0.2387
-86.1943,176.13547,-3303.59,15.37,173.46,0.5207,0.0,50.82,0.7952,1.6601,0.1288,1.5207,0.0812,-0.0604,0.1676
-86.06968,50.99003,-1907.22,12.301,174.05,0.422,94.94,51.66,0.5973,1.2474,0.2298,1.422,-0.0976,-0.1225,0.2868
-89.35943,54.96845,-2057.78,11.238,166.09,0.4039,74.05,37.76,0.6008,1.3973,0.2074,1.4039,0.1289,-0.1197,-0.232
-87.74807,247.51222,-2855.23,12.777,174.35,0.628,18.01,52.96,0.7237,1.5702,0.1616,1.628,-0.0565,0.1227,0.2258
-88.14601,17.0541,-1511.19,12.423,186.75,0.3889,166.38,43.43,0.4013,1.0834,0.2895,1.3889,0.1187,0.1824,0.3381
-85.36618,103.17376,-2699.24,10.394,196.98,0.4231,98.16,31.42,0.5929,1.3428,0.1857,1.4231,0.0846,-0.0952,0.2316
-86.78067,50.32353,-1787.31,9.347,200.16,0.3606,120.67,37.86,0.5207,1.2664,0.2443,1.3606,-0.1882,-0.1673,0.217
-85.88619,158.78787,-2959.54,20.774,190.61,0.5533,37.51,44.72,0.617,1.3183,0.2083,1.5533,0.1402,0.1645,-0.2407
-87.78293,149.16736,-3511.49,26.58,162.48,0.6149,0.0,73.99,0.822,1.6567,0.1383,1.6149,0.108,0.1069,-0.1638
-88.86381,187.87552,-2542.42,5.618,174.55,0.6399,0.0,32.92,0.7588,1.4902,0.1389,1.6399,0.1072,-0.0704,0.1883
-87.22708,100.66908,-3100.29,6.142,176.97,0.5451,0.0,42.05,0.7479,1.5899,0.137,1.5451,0.0755,-0.0821,0.1799
-89.68091,11.53569,-1322.3,5.107,191.05,0.5513,119.84,32.45,0.701,1.483,0.1443,1.5513,-0.046,0.0835,0.2025
-85.86184,221.179,-2483.58,11.04,173.68,0.5139,52.08,48.25,0.6599,1.4107,0.1595,1.5139,-0.0586,-0.1272,0.1967
-86.84168,134.53848,-3657.59,17.716,180.23,0.5192,0.0,61.02,0.761,1.6343,0.1229,1.5192,-0.0716,-0.0977,0.1421
-86.20956,234.4806,-3068.6,15.35,170.0,0.5326,0.0,53.3,0.7354,1.5553,0.1573,1.5326,0.139,-0.1317,-0.1465
-88.22737,39.12011,-1925.73,11.617,190.96,0.2743,159.51,33.56,0.409,0.9827,0.2564,1.2743,0.0979,0.0956,-0.2967
-85.14651,4.95985,-1784.85,13.2,170.87,0.5076,105.39,41.52,0.6299,1.535,0.1945,1.5076,0.1405,-0.1464,-0.2116
-85.53439,89.38593,-2381.34,7.949,176.75,0.5395,12.74,35.39,0.6564,1.4483,0.1866,1.5395,-0.1524,0.1575,0.1857
-86.10808,164.35704,-2762.22,10.734,174.26,0.5434,50.72,41.24,0.6399,1.3697,0.1612,1.5434,-0.14,-0.0663,-0.1947
-89.02681,141.86591,-3059.52,12.28,173.72,0.5724,0.0,46.97,0.7206,1.5195,0.1332,1.5724,-0.0665,-0.0452,0.1934
-87.66639,291.70892,-2223.72,3.263,185.67,0.3868,110.33,22.68,0.4908,1.1766,0.2286,1.3868,-0.1815,-0.0768,0.2483
-89.78098,136.02155,-3266.15,6.87,171.45,0.575,0.0,31.6,0.6365,1.4097,0.1681,1.575,-0.1173,0.1171,-0.2064
-89.22855,190.95882,-2369.07,5.784,175.49,0.5332,46.87,28.78,0.6327,1.4774,0.1673,1.5332,-0.1034,-0.0945,0.2148
-86.58476,213.66561,-2573.24,15.505,182.92,0.6222,53.02,33.53,0.7315,1.5664,0.1852,1.6222,-0.1536,0.0835,0.2443
