x,y,intensity
0,0,1.0
1,0,0.5108
2,0,0.5036
3,0,0.5868
4,0,0.5569
5,0,0.5856
6,0,0.6516
7,0,0.6538
8,0,0.6599
9,0,0.6263
10,0,0.6501
11,0,0.7103
12,0,0.7293
13,0,0.7285
14,0,0.7156
15,0,0.722
16,0,0.7495
17,0,0.7095
18,0,0.7521
19,0,0.7083
20,0,0.7173
21,0,0.7513
22,0,0.7589
23,0,1.0
24,0,0.6939
25,0,0.6617
26,0,0.7067
27,0,0.6375
28,0,0.7091
29,0,0.6333
30,0,0.7166
31,0,0.6036
32,0,0.6282
33,0,0.5733
34,0,0.5708
35,0,0.5613
36,0,0.5611
37,0,0.5451
38,0,0.5156
39,0,0.5041
40,0,0.4339
41,0,0.4516
42,0,0.4021
43,0,1.0
44,0,0.3781
45,0,0.3757
46,0,0.3493
47,0,0.3479
48,0,0.2866
49,0,0.2507
50,0,0.316
51,0,0.3166
52,0,0.2643
53,0,0.2852
54,0,0.2067
55,0,0.9814
56,0,0.2527
57,0,0.1981
58,0,0.2059
59,0,0.2599
60,0,0.2421
61,0,0.2566
62,0,0.2632
63,0,0.2468
64,0,0.2901
65,0,0.3091
66,0,0.3061
67,0,0.3239
68,0,0.3493
69,0,0.3975
70,0,0.3885
71,0,0.3526
72,0,0.3943
73,0,0.4783
74,0,0.4504
75,0,0.4891
76,0,0.5703
77,0,0.5522
78,0,0.4893
79,0,0.6173
80,0,0.598
81,0,0.6236
82,0,0.6398
83,0,0.6754
84,0,0.6619
85,0,0.6349
86,0,0.7029
87,0,0.6643
88,0,0.7714
89,0,0.7156
90,0,0.7329
91,0,0.7206
92,0,0.7558
93,0,0.7623
94,0,0.7296
95,0,0.7631
0,1,0.502
1,1,0.5179
2,1,0.5188
3,1,0.6311
4,1,0.6171
5,1,0.6228
6,1,0.6534
7,1,0.6464
8,1,0.6438
9,1,0.5907
10,1,0.9634
11,1,0.7629
12,1,0.7447
13,1,0.7265
14,1,0.682
15,1,0.7558
16,1,0.7341
17,1,0.7674
18,1,0.7155
19,1,0.7347
20,1,0.7749
21,1,0.8033
22,1,0.7211
23,1,0.7047
24,1,0.7575
25,1,0.6796
26,1,0.6708
27,1,0.7021
28,1,0.7429
29,1,0.6399
30,1,0.6382
31,1,0.6355
32,1,0.5999
33,1,0.5422
34,1,0.5997
35,1,0.5612
36,1,0.5462
37,1,0.5103
38,1,0.5391
39,1,0.4579
40,1,0.4202
41,1,1.0
42,1,0.3465
43,1,0.3887
44,1,0.3727
45,1,0.354
46,1,0.2943
47,1,0.2899
48,1,0.34
49,1,0.3399
50,1,0.2743
51,1,0.2488
52,1,0.2147
53,1,0.2896
54,1,0.2861
55,1,0.1683
56,1,0.1781
57,1,0.2548
58,1,0.2604
59,1,0.2414
60,1,0.2598
61,1,0.2601
62,1,0.2766
63,1,0.2587
64,1,0.2968
65,1,0.2897
66,1,0.3013
67,1,0.2833
68,1,0.3505
69,1,0.3973
70,1,0.3818
71,1,0.4
72,1,0.468
73,1,0.4812
74,1,0.523
75,1,0.5594
76,1,0.5143
77,1,0.4985
78,1,0.538
79,1,0.5909
80,1,0.6365
81,1,0.5808
82,1,0.6381
83,1,0.6239
84,1,0.6595
85,1,0.6741
86,1,0.7042
87,1,0.7663
88,1,0.7306
89,1,0.7131
90,1,0.7161
91,1,0.7346
92,1,0.7189
93,1,0.7523
94,1,0.6771
95,1,0.7426
0,2,0.496
1,2,0.4858
2,2,0.5296
3,2,0.5949
4,2,0.6168
5,2,0.5843
6,2,0.6345
7,2,0.5915
8,2,0.6443
9,2,0.6758
10,2,0.7292
11,2,0.7324
12,2,0.7148
13,2,0.6916
14,2,0.7686
15,2,0.9898
16,2,0.7543
17,2,0.7412
18,2,0.8069
19,2,0.7295
20,2,0.7741
21,2,0.7412
22,2,0.7564
23,2,0.7817
24,2,0.6652
25,2,0.714
26,2,0.6783
27,2,0.7062
28,2,0.6999
29,2,0.6502
30,2,0.6326
31,2,0.6374
32,2,0.5751
33,2,0.6046
34,2,0.5506
35,2,0.5773
36,2,0.4954
37,2,0.4974
38,2,0.4713
39,2,0.4642
40,2,0.4941
41,2,0.4581
42,2,0.3987
43,2,0.3797
44,2,0.4024
45,2,0.3235
46,2,0.3426
47,2,0.3084
48,2,0.3073
49,2,0.3239
50,2,0.2681
51,2,0.3075
52,2,0.3358
53,2,0.2811
54,2,0.2553
55,2,0.289
56,2,0.2192
57,2,0.298
58,2,0.2314
59,2,0.3224
60,2,0.2409
61,2,0.2889
62,2,0.2306
63,2,0.2808
